id,char,pinyins,script_type,hsk_level
1861,啄,zhuó|zhòu,neutral,
1863,商,shāng,neutral,1
1867,啊,a|ā|á|ǎ|à|è,neutral,2
1872,問,wèn,traditional,
1878,啕,táo,neutral,
1885,啜,chuài|chuò|zhuó,neutral,
1887,啞,yǎ|è|yā,traditional,
1888,啟,qǐ,traditional,
1890,啡,fēi|pèi|pái|pēi|bài,neutral,3
1893,啤,pí,neutral,3
1894,啥,shá|shà,neutral,
1895,啦,la|lā,neutral,6
1899,啪,pā,neutral,
1901,啬,sè,simplified,
1905,啰,luō|luó|luo,neutral,
1912,啷,lāng,neutral,
1913,啸,xiào,simplified,7-9
1917,啼,tí,neutral,
1919,啾,jiū,neutral,
1921,喀,kā|kè|ke,neutral,
1923,喂,wèi,neutral,2
1924,喃,nán|nǎn,neutral,
1925,善,shàn,neutral,3
1928,喇,lǎ|lá|lā|la,neutral,7-9
1930,喉,hóu,neutral,7-9
1931,喊,hǎn|kàn|jiān,neutral,2
1932,喋,dié|zhá|qiè,neutral,
1936,喏,nuò|rě,neutral,
1941,喔,ō|wō|wū|o|ò,neutral,
1945,喘,chuǎn,neutral,7-9
1947,喚,huàn,traditional,
1949,喜,xǐ|xī|chì,neutral,1
1950,喝,hē|hè|yè|kài,neutral,1
1959,喦,niè|yì,neutral,
1960,喧,xuān|xuǎn,neutral,7-9
1963,喪,sàng|sāng,traditional,
1965,喬,qiáo|jiǎo,traditional,
1967,單,dān|dǎn|chán|shàn|chǎn|dàn|zhàn|tán,traditional,
1970,喱,lí,neutral,
1974,喵,miāo,neutral,
1976,喷,pēn|pèn,simplified,5
1980,喻,yù|yú,neutral,7-9
1989,嗄,á|shà|a|xià,neutral,
1990,嗅,xiù,neutral,7-9
1992,嗇,sè,traditional,
1999,嗎,ma|mà|má|mǎ,traditional,
2002,嗑,kē|kè|hé|xiá,neutral,
2004,嗓,sǎng,neutral,7-9
2011,嗚,wū|wù,traditional,
2013,嗜,shì,neutral,7-9
2014,嗝,gé,neutral,
2016,嗟,jiē|jiè|juē,neutral,
